Tag_number,filename,Sample_ID,Sample_symbio,Sample_symbio2,Lineage
620_1229,cat_2-Baum_S2_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,134_2015c,134_2015c,134_2015c,Blue
608,cat_7-Baum_S7_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,137_FL2016a,130_2015c,130_2015c,Blue
624,3-Astrangia_Pool_1_S3_L008_R1_001_AGAC.nosymbio.fastq.bt2.bam,138_2015c,138_2015c,138_2015c,Blue
753,cat_4-Baum_S4_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,230_15b,230_2015b,230_2015b,Blue
659,cat_8-Baum_S8_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,29_2015c,29_2015c,29_2015c,Blue
416_1104,cat_7-Baum_S7_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,423_15c_b1,423_2015c,423_2015c,Blue
420b,cat_1-Baum_S1_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,424_2015c,424_2015c,424_2015c,Blue
758,cat_2-Baum_S2_L003_R1_001_TGGT.nosymbio.fastq.bt2.bam,449_2015c,449_2015c,449_2015c,Blue
677_1151,cat_2-Baum_S2_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,47_2015c,123_2015b,123_2015b,Blue
752,3-Astrangia_Pool_1_S3_L008_R1_001_GACT.nosymbio.fastq.bt2.bam,470_2015c,229_2015b,229_2015b,Blue
782,cat_7-Baum_S7_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,478_15c,278_2015b,278_2015b,Blue
499,cat_8-Baum_S8_L003_R1_001_TGGT.nosymbio.fastq.bt2.bam,5_2016a,195_2015b,195_2015b,Blue
862,cat_2-Baum_S2_L003_R1_001_AGAC.nosymbio.fastq.bt2.bam,52_2015c,52_2015c_2,52_2015c_2,Blue
867,cat_6-Baum_S6_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,57_2015c,57_2015c,57_2015c,Blue
578,cat_2-Baum_S2_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,76_2015b,97_2015c,97_2015c,Blue
578,11_Astrangia_Pool_2_S3_L007_R1_001_GCTT.nosymbio.fastq.bt2.bam,76_2015b,97_2015c,97_2015c,Blue
682_1083,cat_3-Baum_S3_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,FL100_2016b,128_2015b,128_2015b,Blue
585_1262,cat_3-Baum_S3_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,FL131_2016a,106_2015c,106_2015c,Blue
200_972_1336,cat_2-Baum_S2_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,FL169_2016a,200_2014,200_2014,Blue
200_972_1336,cat_3-Baum_S3_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,FL169_2016a,200_2014,200_2014,Blue
107,cat_7-Baum_S7_L003_R1_001_GACT.nosymbio.fastq.bt2.bam,109_2015a,107_2014,107_2014,Pale
230,14_Astrangia_Pool_2_S6_L007_R1_001_TGGT.nosymbio.fastq.bt2.bam,146FL_2017,177_2015c_2,177_2015c_2,Pale
172,cat_1-Baum_S1_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,151_2015c,172_2014,172_2014,Pale
694,cat_6-Baum_S6_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,161_2015b,161_2015b,161_2015b,Pale
650,cat_5-Baum_S5_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,21_2015c,21_2015c,235_2015b,Pale
325,14_Astrangia_Pool_2_S6_L007_R1_001_AGTG.nosymbio.fastq.bt2.bam,325_2014,254_2015b,254_2015b,Pale
839,8-Astrangia_Pool_1_S8_L008_R1_001_GCTT.nosymbio.fastq.bt2.bam,335_2015b_B2,335_2015b,335_2015b,Blue
859,cat_1-Baum_S1_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,355_2015b,477_2015c,477_2015c,Pale
241,14_Astrangia_Pool_2_S6_L007_R1_001_CATC.nosymbio.fastq.bt2.bam,381_2015c,176_2015b,176_2015b,Pale
