Unique_ID,sample_name,coral_tag,host_phylum,host_class,host_order,host_family,host_genus,host_species,Site,windward_leeward,Disturbance,Disturbance_cat,Species,expedition,tube_number,fastq_file_name,fastq_fwd_file_name,fastq_rev_file_name,Sequencing_run,Sequence_count,
55_2014_2,55_2014_2,55,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2014,55,14-55-2_S191_L001_R1_001.fastq,14-55-2_S191_L001_R1_001.fastq,14-55-2_S191_L001_R2_001.fastq.gz,Shedd_2021,,Added
59_2014_2,59_2014_2,59,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2014,59,14-592_S104_L001_R1_001.fastq,14-592_S104_L001_R1_001.fastq,14-592_S104_L001_R2_001.fastq.gz,Shedd_2021,,Added
41_2014_2,41_2014_2,66,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2014,41,14-41-2_S348_L001_R1_001.fastq,14-41-2_S348_L001_R1_001.fastq,14-41-2_S348_L001_R2_001.fastq.gz,Shedd_2021,,Added
55_2015c,55_2015c,865,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2015c,55,15c-55_S372_L001_R1_001.fastq,15c-55_S372_L001_R1_001.fastq,15c-55_S372_L001_R2_001.fastq.gz,Shedd_2021,,Added
294_2019,294_2019,1353,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,27,leeward,7275.908365,Very High,Porites lobata,2019,294,19-294_S300_L001_R1_001.fastq,19-294_S300_L001_R1_001.fastq,19-294_S300_L001_R2_001.fastq.gz,Shedd_2021,,Added
290_2019,290_2019,1352,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,27,leeward,7275.908365,Very High,Porites lobata,2019,290,19-290_S308_L001_R1_001.fastq,19-290_S308_L001_R1_001.fastq,19-290_S308_L001_R2_001.fastq.gz,Shedd_2021,,Added
295_2019,295_2019,1354,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,27,leeward,7275.908365,Very High,Porites lobata,2019,295,19-295_S316_L001_R1_001.fastq,19-295_S316_L001_R1_001.fastq,19-295_S316_L001_R2_001.fastq.gz,Shedd_2021,,Added
223_2015c,223_2015c,16,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,38,windward,808.5521265,Low,Porites lobata,2015c,223,15c-223_S192_L001_R1_001.fastq,15c-223_S192_L001_R1_001.fastq,15c-223_S192_L001_R2_001.fastq.gz,Shedd_2021,5718,Added
187_2015c,187_2015c,25,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,38,windward,808.5521265,Low,Porites lobata,2015c,187,15c-187_S160_L001_R1_001.fastq,15c-187_S160_L001_R1_001.fastq,15c-187_S160_L001_R2_001.fastq.gz,Shedd_2021,7054,Added
189_2015c,189_2015c,27,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,38,windward,808.5521265,Low,Porites lobata,2015c,189,15c-189_S184_L001_R1_001.fastq,15c-189_S184_L001_R1_001.fastq,15c-189_S184_L001_R2_001.fastq.gz,Shedd_2021,6288,Added
80_2014_2,80_2014_2,80,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2014,80,14-80-2_S183_L001_R1_001.fastq,14-80-2_S183_L001_R1_001.fastq,14-80-2_S183_L001_R2_001.fastq.gz,Shedd_2021,26109,Added
151_2015c_2,151_2015c_2,172,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,151,15c-151-2_S345_L001_R1_001.fastq,15c-151-2_S345_L001_R1_001.fastq,15c-151-2_S345_L001_R2_001.fastq.gz,Shedd_2021,5341,Added
35_2019,35_2019,172,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2019,35,19-35_S352_L001_R1_001.fastq,19-35_S352_L001_R1_001.fastq,19-35_S352_L001_R2_001.fastq.gz,Shedd_2021,7155,Added
148_2017_2,148_2017_2,230,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,148,17-148-2_S381_L001_R1_001.fastq,17-148-2_S381_L001_R1_001.fastq,17-148-2_S381_L001_R2_001.fastq.gz,Shedd_2021,12076,Added
177_2015c_2,177_2015c_2,230,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,177,15c-177-2_S364_L001_R1_001.fastq,15c-177-2_S364_L001_R1_001.fastq,15c-177-2_S364_L001_R2_001.fastq.gz,Shedd_2021,7681,Added
381_2015c,381_2015c,241,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2015c,381,15c-381_S288_L001_R1_001.fastq,15c-381_S288_L001_R1_001.fastq,15c-381_S288_L001_R2_001.fastq.gz,Shedd_2021,7946,Added
412_2015c_2,412_2015c_2,401,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,25,windward,1617,Medium,Porites lobata,2015c,412,15c-412-2_S280_L001_R1_001.fastq,15c-412-2_S280_L001_R1_001.fastq,15c-412-2_S280_L001_R2_001.fastq.gz,Shedd_2021,8444,Added
344_2015c,344_2015c,434,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2015c,344,15c-344_S313_L001_R1_001.fastq,15c-344_S313_L001_R1_001.fastq,15c-344_S313_L001_R2_001.fastq.gz,Shedd_2021,5421,Added
93_2015c,93_2015c,474,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,27,leeward,7275.908365,Very High,Porites lobata,2015c,93,15c-93_S337_L001_R1_001.fastq,15c-93_S337_L001_R1_001.fastq,15c-93_S337_L001_R2_001.fastq.gz,Shedd_2021,6734,Added
95_2015c,95_2015c,476,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,27,leeward,7275.908365,Very High,Porites lobata,2015c,95,15c-95_S293_L001_R1_001.fastq,15c-95_S293_L001_R1_001.fastq,15c-95_S293_L001_R2_001.fastq.gz,Shedd_2021,8029,Added
318_2017_2,318_2017_2,627,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,15,windward,0,Very Low,Porites lobata,2017,318,17-318-2_S359_L001_R1_001.fastq,17-318-2_S359_L001_R1_001.fastq,17-318-2_S359_L001_R2_001.fastq.gz,Shedd_2021,6505,Added
154_2017_1,154_2017_1,659,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2017,154,17-154_S375_L001_R1_001.fastq,17-154_S375_L001_R1_001.fastq,17-154_S375_L001_R2_001.fastq.gz,Shedd_2021,7320,Added
478_2015c,478_2015c,782,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,34,leeward,1212.82819,Medium,Porites lobata,2015c,478,15c-478_S297_L001_R1_001.fastq,15c-478_S297_L001_R1_001.fastq,15c-478_S297_L001_R2_001.fastq.gz,Shedd_2021,6930,Added
194_2018,194_2018,839,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2018,194,18-194_S302_L001_R1_001.fastq,18-194_S302_L001_R1_001.fastq,18-194_S302_L001_R2_001.fastq.gz,Shedd_2021,8232,Added
52_2015c_2,52_2015c_2,862,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2015c,52,15c-52-2_S329_L001_R1_001.fastq,15c-52-2_S329_L001_R1_001.fastq,15c-52-2_S329_L001_R2_001.fastq.gz,Shedd_2021,6422,Added
157_2017_2,157_2017_2,867,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2017,157,17-157-2_S294_L001_R1_001.fastq,17-157-2_S294_L001_R1_001.fastq,17-157-2_S294_L001_R2_001.fastq.gz,Shedd_2021,6006,Added
36_2016a,36_2016a,917,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,8,leeward,1212.82819,Medium,Porites lobata,2016a,36,16a-36_S339_L001_R1_001.fastq,16a-36_S339_L001_R1_001.fastq,16a-36_S339_L001_R2_001.fastq.gz,Shedd_2021,7186,Added
187_2017_1,187_2017_1,1175,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2017,187,17-187_S296_L001_R1_001.fastq,17-187_S296_L001_R1_001.fastq,17-187_S296_L001_R2_001.fastq.gz,Shedd_2021,6722,Added
194_2017_1,194_2017_1,1182,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2017,194,17-194_S312_L001_R1_001.fastq,17-194_S312_L001_R1_001.fastq,17-194_S312_L001_R2_001.fastq.gz,Shedd_2021,5438,Added
325_2017_1,325_2017_1,1234,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,15,windward,0,Very Low,Porites lobata,2017,325,17-325_S336_L001_R1_001.fastq,17-325_S336_L001_R1_001.fastq,17-325_S336_L001_R2_001.fastq.gz,Shedd_2021,10188,Added
330_2017_1,330_2017_1,1239,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,15,windward,0,Very Low,Porites lobata,2017,330,17-330_S344_L001_R1_001.fastq,17-330_S344_L001_R1_001.fastq,17-330_S344_L001_R2_001.fastq.gz,Shedd_2021,7724,Added
111_2019,111_2019,1343,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,37,leeward,0,Very Low,Porites lobata,2019,111,19-111_S292_L001_R1_001.fastq,19-111_S292_L001_R1_001.fastq,19-111_S292_L001_R2_001.fastq.gz,Shedd_2021,5548,Added
5_2017_2,5_2017_2,1_1425,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,35,leeward,1212.82819,Medium,Porites lobata,2017,5,17-5-2_S367_L001_R1_001.fastq,17-5-2_S367_L001_R1_001.fastq,17-5-2_S367_L001_R2_001.fastq.gz,Shedd_2021,5754,Added
195_2017_1,195_2017_1,1183_1453,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2017,195,17-195_S320_L001_R1_001.fastq,17-195_S320_L001_R1_001.fastq,17-195_S320_L001_R2_001.fastq.gz,Shedd_2021,8202,Added
9_2015c,9_2015c,12_635,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,35,leeward,1212.82819,Medium,Porites lobata,2015c,9,15c-9_S321_L001_R1_001.fastq,15c-9_S321_L001_R1_001.fastq,15c-9_S321_L001_R2_001.fastq.gz,Shedd_2021,5798,Added
