,dominant1,dominant2,Unique_ID,sample_name,expedition,tube_number,coral_tag,TotalSeq
108,ASV14,,318_2017_2,318_2017_2,2017,318,627,19
282,ASV14,,318_2017,627_2017,2017,318,627,25582
320,ASV14,,318_2017_FQ,KI17FQ318,2017,318,627,488
406,ASV14,,76_2015a - Pre,627_2015a,2015a - Pre,76,627,3457
436,ASV14,,148_2015c,627_2015c,2015c,148,627,13095
512,ASV14,,166_2016a,627_2016a,2016a,166,627,8661
78,ASV25,,96_2015b,96_2015b,2015b,96,650,3
4,ASV45,,105_2015b,659_2015b,2015b,105,659,105
68,ASV7,,154_2017,1074_2017,2017,154,659,2654
252,ASV7,,29_2015c,659_2015c,2015c,29,659,130
317,ASV4,,FQ154_2017,KI17FQ154,2017,FQ154,659,23
583,ASV7,,119_2016b,659_2016b,2016b,119,659,8015
14,ASV16,,116_2015b,670_2015b,2015b,116,670,14
286,ASV25,,161_2015b,694_2015b,2015b,161,694,3222
295,ASV7,,182_2015b,717_2015b,2015b,182,717,8702
324,ASV7,,367_2015c,717_2015c,2015c,367,717,1066
298,ASV28,ASV19,201_2015b,723_2015b,2015b,201,723,9913
425,ASV28,ASV19,79_2015c,723_2015c,2015c,79,723,5054
484,ASV28,ASV19,75_2016a,723_2016a,2016a,75,723,3363
179,ASV6,,229_2015b,752_2015b,2015b,229,752,244
348,ASV6,,470_2015c,752_2015c,2015c,470,752,117
180,ASV7,,230_2015b,753_2015b,2015b,230,753,8
349,ASV7,,471_2015c,753_2015c,2015c,471,753,125
77,ASV9,,235_2015b,235_2015b,2015b,235,758,56
83,ASV6,ASV126,449_2015c,449_2015c,2015c,449,758,149
321,ASV7,,269_2015b,773_2015b,2015b,269,773,6786
461,ASV7,,512_2015c,773_2015c,2015c,512,773,2542
498,ASV7,,122_2016a,773_2016a,2016a,122,773,821
84,ASV9,,478_2015c,478_2015c,2015c,478,782,18
323,ASV9,ASV44,278_2015b,782_2015b,2015b,278,782,13829
412,ASV97,,286_2015b,790_2015b,2015b,286,790,813
442,ASV97,,256_2015c,790_2015c,2015c,256,790,993
487,ASV97,ASV260,90_2016a,790_2016a,2016a,90,790,1897
241,ASV2,ASV17,279_2015c,812_2015c,2015c,279,812,1436
275,ASV2,ASV17,308_2015b,812_2015b,2015b,308,812,900
414,ASV4,ASV10,312_2015b,816_2015b,2015b,312,816,707
445,ASV10,ASV4,282_2015c,816_2015c,2015c,282,816,2859
92,ASV9,,162_2019,162_2019,2019,162,821,53
416,ASV9,ASV4,317_2015b,821_2015b,2015b,317,821,4215
450,ASV4,ASV9,302_2015c,821_2015c,2015c,302,821,13317
493,ASV4,ASV9,102_2016a,821_2016a,2016a,102,821,1011
563,ASV4,ASV9,70_2016b,821_2016b,2016b,70,821,19450
417,ASV16,ASV67,323_2015b,827_2015b,2015b,323,827,5503
446,ASV67,ASV16,288_2015c,827_2015c,2015c,288,827,564
490,ASV16,ASV67,98_2016a,827_2016a,2016a,98,827,4617
111,ASV2,,170_2019,170_2019,2019,170,831,15
149,ASV2,,190_2018,190_2018,2018,190,831,39
262,ASV2,,30_2017,831_2017,2017,30,831,8172
418,ASV2,,327_2015b,831_2015b,2015b,327,831,16831
447,ASV2,,292_2015c,831_2015c,2015c,292,831,346
491,ASV2,,99_2016a,831_2016a,2016a,99,831,998
126,ASV14,,194_2018,194_2018,2018,194,839,9
420,ASV7,,335_2015b,839_2015b,2015b,335,839,3570
449,ASV7,,299_2015c,839_2015c,2015c,299,839,1943
492,ASV7,,100_2016a,839_2016a,2016a,100,839,1373
552,ASV7,,41_2016b,807_2016b,2016b,41,839,4747
329,ASV2,ASV27,343_2015b,847_2015b,2015b,343,847,12947
175,ASV2,,225_2017,853_2017,2017,225,853,1294
421,ASV2,,349_2015b,853_2015b,2015b,349,853,2074
459,ASV2,,483_2015c,853_2015c,2015c,483,853,747
497,ASV2,,114_2016a,853_2016a,2016a,114,853,559
350,ASV16,,477_2015c,859_2015c,2015c,477,859,13
86,ASV32,,52_2015c_2,52_2015c_2,2015c,52,862,106
73,ASV7,,157_2017,677_1151_2017,2017,157,867,5617
361,ASV7,,57_2015c,867_2015c,2015c,57,867,166
441,ASV4,,236_2015c,112_874_2015c,2015c,236,874,681
476,ASV4,,50_2016a,112_874_2016a,2016a,50,874,1067
12,ASV4,,113_2017,880_2017,2017,113,880,10186
354,ASV4,,5_2018,5_2018,2018,5,880,20
364,ASV4,,6_2019,6_2019,2019,6,880,11
454,ASV4,,386_2015c,880_2015c,2015c,386,880,3115
465,ASV4,ASV138,3_2016a,880_2016a,2016a,3,880,2137
602,ASV4,ASV138,168_2016b,880_2016b,2016b,168,880,1583
331,ASV15,,389_2015c,883_2015c,2015c,389,883,1384
455,ASV2,,392_2015c,886_2015c,2015c,392,886,8499
464,ASV2,,2_2016a,886_2016a,2016a,2,886,1492
599,ASV2,,161_2016b,988_2016b,2016b,161,886,8174
333,ASV16,,394_2015c,888_2015c,2015c,394,888,98
10,ASV19,,111_2017,908_2017,2017,111,908,3775
469,ASV19,ASV6,26_2016a,908_2016a,2016a,26,908,1482
601,ASV19,,167_2016b,908_2016b,2016b,167,908,637
31,ASV2,,127_2017,913_2017,2017,127,913,2538
471,ASV2,,32_2016a,913_2016a,2016a,32,913,1006
11,ASV6,,112_2017,915_2017,2017,112,915,9270
19,ASV6,,12_2018,12_2018,2018,12,915,31
265,ASV6,,301_2019,301_2019,2019,301,915,2
472,ASV6,,34_2016a,915_2016a,2016a,34,915,3519
597,ASV6,,157_2016b,915_2016b,2016b,157,915,45758
1,ASV91,,10_2018,10_2018,2018,10,917,234
102,ASV91,,36_2016a,36_2016a,2016a,36,917,256
258,ASV91,,298_2019,298_2019,2019,298,917,267
8,ASV2,ASV17,11_2017,923_2017,2017,11,923,21840
53,ASV2,ASV17,142_2018,142_2018,2018,142,923,127
478,ASV2,ASV17,52_2016a,923_2016a,2016a,52,923,7296
604,ASV17,ASV2,173_2016b,923_2016b,2016b,173,923,1733
479,ASV4,ASV10,53_2016a,924_2016a,2016a,53,924,32853
264,ASV2,,300_2017,931_2017,2017,300,931,16283
483,ASV7,,71_2016a,938_2016a,2016a,71,938,1221
553,ASV7,,49_2016b,938_2016b,2016b,49,938,22900
177,ASV7,,227_2017,951_2017,2017,227,951,1744
501,ASV7,,127_2016a,951_2016a,2016a,127,951,619
608,ASV7,,187_2016b,951_2016b,2016b,187,951,13793
47,ASV26,,140_2016a,962_2016a,2016a,140,962,410
197,ASV26,,245_2017,962_2017,2017,245,962,3346
50,ASV7,,141_2016a,963_2016a,2016a,141,963,43
200,ASV7,,246_2017,963_2017,2017,246,963,5090
51,ASV2,ASV17,142_2016a,964_2016a,2016a,142,964,311
195,ASV2,ASV17,244_2017,964_2017,2017,244,964,9948
58,ASV2,,145_2016a,967_2016a,2016a,145,967,2733
201,ASV2,,247_2017,967_2017,2017,247,967,19332
202,ASV2,ASV17,248_2017,969_2017,2017,248,969,5829
213,ASV19,ASV28,253_2017,973_2017,2017,253,973,11924
215,ASV9,,255_2017,975_2017,2017,255,975,17266
273,ASV9,,307_2019,307_2019,2019,307,975,5
226,ASV4,,261_2017,976_2017,2017,261,976,17050
224,ASV4,ASV10,260_2017,977_2017,2017,260,977,10692
223,ASV14,,259_2017,979_2017,2017,259,979,12024
217,ASV6,,256_2017,980_2017,2017,256,980,18077
135,ASV9,,185_2016a,981_2016a,2016a,185,981,170
593,ASV9,ASV42,150_2016b,981_2016b,2016b,150,981,8839
137,ASV2,,186_2016a,982_2016a,2016a,186,982,257
170,ASV2,,218_2018,218_2018,2018,218,982,317
242,ASV2,,279_2017,982?_2017,2017,279,982,12571
369,ASV2,,64_2019,64_2019,2019,64,982,217
592,ASV2,,149_2016b,982_2016b,2016b,149,982,6491
139,ASV2,ASV15,187_2016a,983_2016a,2016a,187,983,771
246,ASV15,ASV2,281_2017,983_2017,2017,281,983,30859
595,ASV141,,153_2016b,984_2016b,2016b,153,984,529
143,ASV14,ASV44,189_2016a,985_2016a,2016a,189,985,206
247,ASV44,ASV14,282_2017,985_2017,2017,282,985,28524
596,ASV44,ASV14,154_2016b,985_2016b,2016b,154,985,6053
161,ASV44,,205_2016a,988_2016a,2016a,205,988,807
221,ASV2,,258_2017,992_2017,2017,258,992,11982
278,ASV2,,311_2019,311_2019,2019,311,992,7
121,ASV45,,178_2016a,993_2016a,2016a,178,993,243
231,ASV45,,267_2017,993_2017,2017,267,993,2930
589,ASV45,ASV9,136_2016b,993_2016b,2016b,136,993,2507
123,ASV2,,179_2016a,994_2016a,2016a,179,994,130
168,ASV2,ASV17,215_2018,215_2018,2018,215,994,5845
236,ASV2,ASV17,273_2017,994_2017,2017,273,994,3200
184,ASV69,,232_2018,232_2018,2018,232,998,205
238,ASV69,ASV94,274_2017,998_2017,2017,274,998,18225
590,ASV69,ASV94,145_2016b,998_2016b,2016b,145,998,3767
132,ASV10,ASV4,184_2016a,999_2016a,2016a,184,999,822
176,ASV69,,227_2018,227_2018,2018,227,999,49
239,ASV10,ASV4,277_2017,999_2017,2017,277,999,19091
591,ASV10,ASV4,147_2016b,999_2016b,2016b,147,999,6276
234,ASV7,,27_2018,27_2018,2018,27,1004,42
372,ASV7,ASV6,70_2017,1004_2017,2017,70,1004,17922
565,ASV7,ASV46,72_2016b,1004_2016b,2016b,72,1004,12133
16,ASV17,,118_2019,118_2019,2019,118,1006,390
204,ASV17,,25_2018,25_2018,2018,25,1006,451
374,ASV17,,73_2017,1006_2017,2017,73,1006,345
519,ASV10,,218_2016a,1006_2016a,2016a,218,1006,11
566,ASV17,,73_2016b,1006_2016b,2016b,73,1006,4138
520,ASV10,,219_2016a,1007_2016a,2016a,219,1007,11370
22,ASV6,,120_2019,120_2019,2019,120,1010,9
521,ASV2,,222_2016a,1010_2016a,2016a,222,1010,10382
26,ASV2,,123_2019,123_2019,2019,123,1012,10382
284,ASV2,,32_2018,32_2018,2018,32,1012,707
376,ASV2,,81_2017,1012_2017,2017,81,1012,3409
522,ASV2,,227_2016a,1015_2016a,2016a,227,1015,25
573,ASV2,,89_2016b,1015_2016b,2016b,89,1015,88142
673,ASV2,,124_2019,124_2019,2019,124,1015,682
524,ASV4,,230_2016a,1018_2016a,2016a,230,1018,6
570,ASV7,,85_2016b,1018_2016b,2016b,85,1018,6063
682,ASV7,,104_2019,104_2019,2019,104,1018,22
377,ASV4,ASV9,82_2017,1019_2017,2017,82,1019,3394
517,ASV9,ASV4,211_2016a,1019_2016a,2016a,211,1019,1926
572,ASV9,,88_2016b,1019_2016b,2016b,88,1019,7023
39,ASV4,,134_2019,134_2019,2019,134,1021,91
293,ASV15,,33_2018,33_2018,2018,33,1021,299
379,ASV4,ASV15,86_2017,1021_2017,2017,86,1021,12187
518,ASV15,,213_2016a,1021_2016a,2016a,213,1021,3935
569,ASV4,,82_2016b,1021_2016b,2016b,82,1021,19256
383,ASV15,ASV4,93_2017,1025_2017,2017,93,1025,27460
525,ASV15,ASV4,232_2016a,1025_2016a,2016a,232,1025,4799
574,ASV15,ASV4,92_2016b,1025_2016b,2016b,92,1025,4549
527,ASV10,ASV9,236_2016a,1029_2016a,2016a,236,1029,2158
576,ASV10,ASV9,98_2016b,1029_2016b,2016b,98,1029,1245
52,ASV2,ASV39,142_2016b,1039_2016b,2016b,142,1039,178
227,ASV2,ASV39,263_2016a,1039_2016a,2016a,263,1039,627
233,ASV2,ASV39,269_2017,1039_2017,2017,269,1039,6981
345,ASV4,ASV42,45_2017,1041_2017,2017,45,1041,28555
528,ASV4,ASV42,242_2016a,1041_2016a_1,2016a,242,1041,967
529,ASV26,ASV79,243_2016a,1041_2016a,2016a,243,1041,15598
561,ASV26,ASV79,66_2016b,1041_2016b,2016b,66,1041,15369
346,ASV28,ASV19,46_2017,1042_2017,2017,46,1042,34600
530,ASV28,ASV19,244_2016a,1042_2016a_1,2016a,244,1042,6871
560,ASV19,ASV28,65_2016b,1042_2016b,2016b,65,1042,12057
334,ASV6,,40_2017,1043_2017,2017,40,1043,3
531,ASV19,,245_2016a,1042_2016a,2016a,245,1043,6820
532,ASV15,ASV10,246_2016a,1043_2016a_1,2016a,246,1043,1113
533,ASV15,ASV10,247_2016a,1043_2016a,2016a,247,1043,6916
559,ASV15,,64_2016b,1043_2016b,2016b,64,1043,17457
337,ASV2,ASV17,41_2017,1044_2017,2017,41,1044,33883
534,ASV4,ASV10,248_2016a,1044_2016a_1,2016a,248,1044,5926
535,ASV10,ASV4,249_2016a,1044_2016a,2016a,249,1044,37785
558,ASV4,ASV10,63_2016b,1044_2016b,2016b,63,1044,13493
339,ASV4,,42_2017,1045_2017,2017,42,1045,47753
536,ASV4,,250_2016a,1045_2016a_1,2016a,250,1045,8473
537,ASV4,,251_2016a,1045_2016a,2016a,251,1045,4457
557,ASV4,,62_2016b,1045_2016b,2016b,62,1045,21328
538,ASV10,ASV9,252_2016a,1046_2016a_1,2016a,252,1046,4598
342,ASV4,ASV10,43_2017,1047_2017,2017,43,1047,32120
540,ASV4,ASV10,254_2016a,1047_2016a_1,2016a,254,1047,1271
541,ASV4,ASV10,255_2016a,1047_2016a,2016a,255,1047,44451
556,ASV10,ASV4,61_2016b,1047_2016b,2016b,61,1047,3072
542,ASV9,ASV22,257_2016a,1048_2016a_1,2016a,257,1048,17472
543,ASV9,ASV22,258_2016a,1048_2016a,2016a,258,1048,16356
555,ASV9,,60_2016b,1048_2016b,2016b,60,1048,18384
36,ASV19,,132_2016b,1053_2016b,2016b,132,1053,341
228,ASV19,,263_2017,1053_2017,2017,263,1053,16552
232,ASV19,,269_2016a,1053_2016a,2016a,269,1053,1326
94,ASV26,,163_2019,163_2019,2019,163,1066,64
253,ASV2,ASV49,29_2017,1066_2017,2017,29,1066,10508
564,ASV81,ASV26,71_2016b,1066_2016b,2016b,71,1066,7575
384,ASV2,,94_2017,1067_2017,2017,94,1067,10855
575,ASV2,,95_2016b,1067_2016b,2016b,95,1067,1792
34,ASV2,ASV76,13_2017,1077_2017,2017,13,1077,25151
676,ASV2,ASV76,146_2018,146_2018,2018,146,1077,980
3,ASV9,ASV15,102_2017,1086_2017,2017,102,1086,1428
48,ASV15,ASV9,140_2018,140_2018,2018,140,1086,93
169,ASV9,,117_2015a - Post,1086_2015a,2015a - Post,117,1086,3048
260,ASV15,ASV9,3_2019,3_2019,2019,3,1086,157
288,ASV9,,168_2015b,1086_2015b,2015b,168,1086,8980
328,ASV9,ASV15,374_2015c_1,1086_2015c_1,2015c,374,1086,1022
453,ASV9,,374_2015c,1086_2015c,2015c,374,1086,680
470,ASV9,ASV15,30_2016a,1086_2016a,2016a,30,1086,1098
598,ASV9,ASV15,159_2016b,1086_2016b,2016b,159,1086,5297
285,ASV4,ASV9,32_2017,1091_2017,2017,32,1091,12273
326,ASV2,,37_2017,1094_2017,2017,37,1094,22623
336,ASV2,,41_2018,41_2018,2018,41,1094,122
330,ASV25,,38_2017,1095_2017,2017,38,1095,7866
347,ASV26,,47_2017,1097_2017,2017,47,1097,17040
681,ASV82,,47_2017_1,47_2017_1,2017,47,1097,356
353,ASV15,,49_2017,1099_2017,2017,49,1099,21014
674,ASV15,,176_2018,176_2018,2018,176,1099,54
358,ASV2,ASV15,53_2017,1101_2017,2017,53,1101,1605
677,ASV2,ASV15,92_2018,92_2018,2018,92,1101,989
368,ASV7,,62_2017,1108_2017,2017,62,1108,3587
18,ASV7,ASV6,119_2018,119_2018,2018,119,1112,95
370,ASV7,ASV6,67_2017,1112_172_2017,2017,67,1112,7298
7,ASV7,,108_2017,1117_2017,2017,108,1117,897
15,ASV7,,117_2017,1118_2017,2017,117,1118,7020
669,ASV7,,137_2018,137_2018,2018,137,1118,46
679,ASV19,,304_2019_2,304_2019_2,2019,304,1118,19
28,ASV4,,124_2017,1123_2017,2017,124,1123,1368
267,ASV4,,303_2019,303_2019,2019,303,1123,3
32,ASV10,,128_2017,1126_2017,2017,128,1126,2799
41,ASV2,ASV27,138_2017,1136_2017,2017,138,1136,6478
672,ASV27,,229_2019,229_2019,2019,229,1136,3
42,ASV6,,139_2017,1137_2017,2017,139,1137,236701
49,ASV2,,140_2017,1138_2017,2017,140,1138,114623
55,ASV10,ASV4,142_2017,1140_2017,2017,142,1140,23484
64,ASV4,,150_2018,150_2018,2018,150,1140,16
166,ASV10,,213_2019,213_2019,2019,213,1140,53
56,ASV7,ASV6,144_2017,1142_2017,2017,144,1142,33436
59,ASV6,ASV19,146_2017,1144_2017,2017,146,1144,4784
63,ASV25,,149_2017,1146_2017,2017,149,1146,11765
65,ASV10,,150_2017,1148_2017,2017,150,1147,11107
67,ASV16,,151_2017,1149_2017,2017,151,1148,16746
72,ASV19,,156_2017,867_2017,2017,156,1150,3748
76,ASV2,,159_2017,1147_2017,2017,159,1152,8701
88,ASV90,ASV16,160_2017,1153_2017,2017,160,1153,11927
93,ASV15,ASV4,162_2017,1155_2017,2017,162,1155,15537
95,ASV17,,163_2017,1156_2017,2017,163,1156,15655
101,ASV10,ASV4,169_2017,1162_2017,2017,169,1162,22437
117,ASV45,ASV6,175_2017,151_1166_2017,2017,175,1166,26244
198,ASV6,,246_2018,246_2018,2018,246,1166,4
206,ASV6,,250_2019,250_2019,2019,250,1166,30
485,ASV45,ASV6,81_2016a,151_1166_2016a,2016a,81,1166,939
585,ASV6,,123_2016b,151_1166_2016b,2016b,123,1166,9804
124,ASV19,,179_2017,1170_2017,2017,179,1170,20370
129,ASV7,,181_2017,1172_2017,2017,181,1172,24171
136,ASV26,,185_2017,1174_2017,2017,185,1174,21857
196,ASV26,,245_2019,245_2019,2019,245,1174,33
366,ASV26,,60_2018,60_2018,2018,60,1174,33
104,ASV26,,187_2017_1,187_2017_1,2017,187,1175,10
141,ASV17,ASV49,187_2017,1175_2017,2017,187,1175,22623
151,ASV7,,193_2017,1181_2017,2017,193,1181,4665
